in_filename,colorset_1,colorset_2,colorset_3
-FheEshu6U.jpg,"[138, 84, 37]","[216, 175, 125]","[234, 234, 232]"
-d4Kqzkg-s.jpg,"[236, 229, 196]","[163, 118, 74]","[21, 11, 5]"
-fVlDRkmVD.jpg,"[161, 126, 101]","[254, 254, 254]","[208, 214, 216]"
-g7VV8iEP-.jpg,"[211, 185, 148]","[91, 85, 59]","[146, 123, 102]"
-nMf5kGdZW.jpg,"[101, 76, 75]","[146, 127, 119]","[177, 175, 178]"
-oJeb_vbp6.jpg,"[40, 19, 12]","[157, 121, 84]","[220, 210, 192]"
00otR2kma-.jpg,"[51, 27, 28]","[117, 86, 84]","[254, 254, 254]"
0AES6FgCbW.jpg,"[170, 142, 86]","[5, 5, 3]","[93, 71, 40]"
0fVmMuyV7s.jpg,"[126, 38, 50]","[226, 84, 99]","[244, 241, 241]"
1hPfCLKquM.jpg,"[130, 82, 61]","[220, 218, 197]","[206, 177, 137]"
6n7N-DBbiO.jpg,"[174, 135, 113]","[140, 71, 54]","[75, 30, 30]"
9M-WblBuxm.jpg,"[25, 23, 19]","[235, 243, 206]","[149, 160, 120]"
9M88SzBu_a.jpg,"[145, 126, 112]","[226, 224, 206]","[52, 43, 42]"
9TEo7Fhuzk.jpg,"[211, 198, 162]","[124, 94, 43]","[26, 13, 6]"
9s9UAnFUHl.jpg,"[167, 154, 88]","[142, 34, 21]","[37, 39, 17]"
BAiCr5Eg6pI.jpg,"[193, 188, 185]","[96, 84, 81]","[31, 26, 25]"
BAocyFqvIMs.jpg,"[166, 166, 158]","[253, 254, 253]","[63, 60, 52]"
BB0UuoQO2z5.jpg,"[58, 27, 13]","[170, 107, 72]","[222, 196, 175]"
BBOlMmdFSWU.jpg,"[114, 115, 103]","[28, 28, 16]","[162, 162, 158]"
BBqGniPxDtp.jpg,"[167, 132, 95]","[61, 43, 40]","[221, 207, 184]"
BByGosShMlg.jpg,"[62, 36, 41]","[164, 114, 82]","[222, 208, 199]"
BC-0Nzri2yR.jpg,"[214, 189, 183]","[130, 70, 34]","[187, 114, 64]"
BC-q2rZv_U7.jpg,"[229, 205, 187]","[64, 47, 34]","[139, 119, 100]"
BC0CinWl13G.jpg,"[7, 4, 2]","[184, 182, 153]","[117, 96, 37]"
